permit_number,StreetName,Cross Street 1,Cross Street 2,Utility Contractor,Permit Reason,Utility Type,Effective Date,Expiration Date,Status,cnn
17EXC-5077,ACTON ST,MISSION ST \ SICKLES AVE,BRUMISS TER,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,2087000
17EXC-5077,SOUTH VAN NESS AVE,22ND ST,23RD ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12029000
14EXC-0431,04TH ST,WELSH ST,FREELON ST,Tutor Perini Corporation,Other,Other,01/22/2014 12:00:00 AM,12/31/2018 12:00:00 AM,APPROVED,263000
17EXC-5077,26TH ST,VIRGIL ST,SOUTH VAN NESS AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1521000
17EXC-5077,POST ST,POWELL ST,MASON ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,10629000
17EXC-5077,JONES ST,POST ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,24965000
17EXC-5077,HOWARD ST,MARY ST,06TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,7042000
17EXC-5077,MASON ST,POST ST,SUTTER ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,8806000
17EXC-5077,MISSION ST,ACTON ST \ SICKLES AVE,HURON AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,9197000
17EXC-5077,GUERRERO ST,18TH ST,19TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,6580201
17EXC-5077,GUERRERO ST,19TH ST,CUMBERLAND ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,6581201
17EXC-5077,24TH ST,SOUTH VAN NESS AVE,CYPRESS ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1342000
17EXC-5077,GUERRERO ST,CUMBERLAND ST,20TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,6581202
17EXC-5077,SOUTH VAN NESS AVE,26TH ST,CESAR CHAVEZ ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12033000
18EXC-1469,HOWARD ST,SPEAR ST,MAIN ST,CableCom,Install New Service,Cable TV,04/30/2018 12:00:00 AM,06/13/2018 12:00:00 AM,APPROVED,7029000
17EXC-5077,SICKLES AVE,ACTON ST \ MISSION ST,HURON AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,11866000
17EXC-5077,MISSION ST,LAWRENCE AVE,ACTON ST \ SICKLES AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,9196000
17EXC-5077,22ND ST,SOUTH VAN NESS AVE,CAPP ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1189000
17EXC-5077,CALIFORNIA ST,LEAVENWORTH ST,HELEN ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,3545000
17EXC-5077,SUTTER ST,LEAVENWORTH ST,HYDE ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12327000
17EXC-5077,06TH ST,NATOMA ST,HOWARD ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,331000
17EXC-5077,20TH ST,GUERRERO ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,25671000
17EXC-5077,26TH ST,SOUTH VAN NESS AVE,CYPRESS ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1522000
17EXC-5077,CALIFORNIA ST,JONES ST,LEAVENWORTH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,3544000
17EXC-5077,20TH ST,GUERRERO ST,DOLORES ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1060000
17EXC-5077,POST ST,MASON ST,TAYLOR ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,10630000
17EXC-5077,22ND ST,SHOTWELL ST,SOUTH VAN NESS AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1188000
18EXC-1313,OFARRELL ST,FILLMORE ST,STEINER ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal,04/23/2018 12:00:00 AM,10/05/2018 12:00:00 AM,APPROVED,9738000
17EXC-5077,POST ST,JONES ST,LEAVENWORTH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,10635000
17EXC-5077,LEAVENWORTH ST,GEARY ST,POST ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,8244000
17EXC-5077,MASON ST,POST ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,24919000
17EXC-5077,CALIFORNIA ST,LEAVENWORTH ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,25231000
17EXC-5077,23RD ST,SHOTWELL ST,SOUTH VAN NESS AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1262000
17EXC-5077,ACTON ST,MISSION ST \ SICKLES AVE,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,21552000
14EXC-0431,WELSH ST,ZOE ST,04TH ST,Tutor Perini Corporation,Other,Other,01/22/2014 12:00:00 AM,12/31/2018 12:00:00 AM,APPROVED,13570000
17EXC-5077,LEAVENWORTH ST,SUTTER ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,25164000
17EXC-5077,CALIFORNIA ST,CUSHMAN ST,TAYLOR ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,3542000
17EXC-5077,SOUTH VAN NESS AVE,25TH ST,26TH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12032000
17EXC-5077,LEAVENWORTH ST,POST ST,SUTTER ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,8245000
17EXC-5077,SUTTER ST,JONES ST,LEAVENWORTH ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12326000
17EXC-5077,19TH ST,GUERRERO ST,OAKWOOD ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,978000
17EXC-5077,TAYLOR ST,CALIFORNIA ST,SACRAMENTO ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12441000
17EXC-5077,JONES ST,COLIN PL,POST ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,7572000
17EXC-5077,JONES ST,POST ST,COSMO PL,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,7573000
17EXC-5077,LEAVENWORTH ST,PINE ST,CALIFORNIA ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,8248000
17EXC-5240,PINE ST,GRANT AVE,STOCKTON ST,Pacific Gas & Electric,Corrosion Testing,Electric,05/21/2018 12:00:00 AM,06/15/2018 12:00:00 AM,APPROVED,10465000
17EXC-5077,POST ST,OPHIR ALY,JONES ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,10634000
18EXC-1928,WILLIAMS AVE,03RD ST \ VAN DYKE AVE,LUCY ST,Pacific Gas & Electric,Raise / Adjust Casting,Electric,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,13651000
17EXC-5077,25TH ST,VIRGIL ST,SOUTH VAN NESS AVE,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,1436000
18EXC-1928,03RD ST,UNDERWOOD AVE,VAN DYKE AVE \ WILLIAMS AVE,Pacific Gas & Electric,Raise / Adjust Casting,Electric,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,219201
17EXC-5077,POST ST,LEAVENWORTH ST,HYDE ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,10636000
18EXC-1313,FILLMORE ST,OFARRELL ST,GEARY BLVD,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal,04/23/2018 12:00:00 AM,10/05/2018 12:00:00 AM,APPROVED,5546000
18EXC-1313,FILLMORE ST,ELLIS ST,OFARRELL ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal,04/23/2018 12:00:00 AM,10/05/2018 12:00:00 AM,APPROVED,5545000
17EXC-5077,19TH ST,GUERRERO ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,25676000
17EXC-5077,CALIFORNIA ST,TAYLOR ST,,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,25088000
17EXC-5077,TAYLOR ST,PINE ST,CALIFORNIA ST,Bay Area Lightworks,Place Conduit,Electric:Sidewalk/Curb:Curb Ramp:Traffic Signal:Sewer,05/17/2018 12:00:00 AM,11/30/2019 12:00:00 AM,APPROVED,12440000
17EXC-1397,FRANKLIN ST,HICKORY ST,FELL ST,"Precision Engineering, Inc.",Reconstruct Pavement,Street / Roadway:Curb Ramp:Sewer,04/08/2017 12:00:00 AM,08/30/2018 12:00:00 AM,APPROVED,5799000
18EXC-1951,OCTAVIA ST,LINDEN ST,HAYES ST,Ghilotti Bros. Construction,Reconstruct Pavement,Pavement Preservation:Water Service:Electric:Street / Roadway:Sidewalk/Curb:AWSS:Curb Ramp:Traffic Signal:Sewer,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,9883201
18EXC-1951,DIVISADERO ST,HAYES ST,GROVE ST,Ghilotti Bros. Construction,Reconstruct Pavement,Pavement Preservation:Water Service:Electric:Street / Roadway:Sidewalk/Curb:AWSS:Curb Ramp:Traffic Signal:Sewer,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,4803201
18EXC-1951,BRODERICK ST,WALLER ST,HAIGHT ST,Ghilotti Bros. Construction,Reconstruct Pavement,Pavement Preservation:Water Service:Electric:Street / Roadway:Sidewalk/Curb:AWSS:Curb Ramp:Traffic Signal:Sewer,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,3187000
18EXC-1951,HAYES ST,SCOTT ST,DIVISADERO ST,Ghilotti Bros. Construction,Reconstruct Pavement,Pavement Preservation:Water Service:Electric:Street / Roadway:Sidewalk/Curb:AWSS:Curb Ramp:Traffic Signal:Sewer,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,6824000
